peer_id,port,last_seen,last_seen_date,last_epoch,client_version,validator_count,validator_count_accuracy,total_observations,city,region,country,latitude,longitude,postal_code,asn,asn_organization,asn_type
16Uiu2HAkzy54Ks4A9u2nAyzEmqbJpDRqCLsRzdzQ9582fGyt8Sn8,9000,1746011561428,2025-04-30 11:12:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,46,0.08,8665,London,England,GB,51.5,-0.1,E1W,AS31898,Oracle Corporation,hosting
16Uiu2HAm6jwgg1GF2kWTY37zs35LTXpnDZuk8NaUEQLDjJ36w3nm,9000,1746011561304,2025-04-30 11:12:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,9,0.15,404,Frankfurt am Main,Hesse,DE,50.1,8.7,60306,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAm1SbzAXqN2WUbjZvdiTsQNEKxcGtFeYYBitVaaXZsL9XT,9000,1746011561298,2025-04-30 11:12:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,33,0.09,274,Frankfurt am Main,Hesse,DE,50.1,8.7,60306,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAky7sYbN12VJxS2mweNdYKGe7uu3KZAreK3a7spE3ofxqY,9000,1746011531525,2025-04-30 11:12:11.000 UTC,362467,lodestar/v1.29.0,61,1.0,42,Tuusula,Uusimaa,FI,60.4,25.0,Europe/Helsinki,AS24940,Hetzner Online GmbH,hosting
16Uiu2HAmKWE48xn2dTnjBA5BDKhLu5GcPC5SZWzwFhxKg7HMywwe,9000,1746011531475,2025-04-30 11:12:11.000 UTC,362467,lodestar/v1.29.0,1,0.6,15,Helsinki,Uusimaa,FI,60.2,24.9,Europe/Helsinki,AS24940,Hetzner Online GmbH,hosting
16Uiu2HAmJcqJXKbULQzpKLCi8b5vT3xK2Mcpg9Dqfxf7xcHnKTzQ,9009,1746011531460,2025-04-30 11:12:11.000 UTC,362467,lodestar/v1.29.0,25,0.14,132,Helsinki,Uusimaa,FI,60.2,24.9,00100,AS24940,Hetzner Online GmbH,hosting
16Uiu2HAmKzmDLHXt3tbP8khx1SkxpJSNcErUJG673uoEn8kSQDoB,9000,1746011531365,2025-04-30 11:12:11.000 UTC,362467,Lighthouse/v6.0.1-0d90135/x86_64-linux,1,0.65,14838,Lille,Hauts-de-France,FR,50.6,3.1,59777,AS16276,OVH SAS,hosting
16Uiu2HAkxGkqdS9rdCe61XVTEgvLm7bE72WYR7PNmbAuXw5gDkor,9000,1746011531298,2025-04-30 11:12:11.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,18,0.12,642,Frankfurt am Main,Hesse,DE,50.1,8.7,60306,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAmHG7SzdUcrDMF5vxQZXAvapC9exhY4YHC44ZewC9enXRp,9000,1746011531298,2025-04-30 11:12:11.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,32,0.11,1787,Frankfurt am Main,Hesse,DE,50.1,8.7,60306,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAmHCX6ZCWuzjScQzCHgYB3hBJHgpiDCDeKjiYGv8tn3RyC,9000,1746011502912,2025-04-30 11:11:42.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,5,0.21,219,Hong Kong,Hong Kong,HK,22.3,114.2,999077,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAkzseqXm3VQJzRDxi1zaJm9iBkaWcCPWGKTZtbEYJcuHFP,9000,1746011502414,2025-04-30 11:11:42.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,25,0.11,1329,Los Angeles,California,US,34.1,-118.2,90009,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAm1jMF153Qk48QAQLrqa5BcSH5tHvyGE2Qk6S12Nzjoh1W,13000,1746011501631,2025-04-30 11:11:41.000 UTC,362467,Prysm/v6.0.0/a0071826c5daf7dc3a6e76874fdaa76481a3c665,61,1.0,1294,Marsaskala,Marsaskala,MT,35.9,14.6,MSK,AS200295,Skoed Limited,business
16Uiu2HAm71MLHWUm7pgn1GcbSc4bAtkMScgyQUafzoUrFWQZGscS,9000,1746011501473,2025-04-30 11:11:41.000 UTC,362467,lodestar/v1.29.0,1,0.85,20,Helsinki,Uusimaa,FI,60.2,24.9,Europe/Helsinki,AS24940,Hetzner Online GmbH,hosting
16Uiu2HAmM74wot99Q4agJbfEpxfDULifPhhUbBi9xZWNeibmAs5f,9000,1746011501429,2025-04-30 11:11:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,33,0.1,1656,London,England,GB,51.5,-0.1,E1W,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAmSJSuUKRtRLkZeGMFukW7KHHXmTuvVrZniSXrEzrKkLcD,9000,1746011501399,2025-04-30 11:11:41.000 UTC,362467,Lighthouse/v7.0.1-e42406d/x86_64-linux,21,0.08,11189,Amsterdam,North Holland,NL,52.4,4.9,1012,AS12876,SCALEWAY S.A.S.,hosting
16Uiu2HAmLDZzALtzdTY23fezZ8m4RFL9cgv8XupFoaCqio98Zbao,9000,1746011501320,2025-04-30 11:11:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,20,0.12,635,Frankfurt am Main,Hesse,DE,50.1,8.7,60306,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAmPottXwwb1HSEf6CVpA7DgsHp6bsSDrmHaPiZsKw19Ew7,9000,1746011501319,2025-04-30 11:11:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,10,0.16,374,Frankfurt am Main,Hesse,DE,50.1,8.7,60306,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAmAoqKiN5bK9BQiM5GrN7PMv3wpvs6cohV72dMWhZeVJGc,9000,1746011471471,2025-04-30 11:11:11.000 UTC,362467,lodestar/v1.29.0,1,0.68,19,Helsinki,Uusimaa,FI,60.2,24.9,Europe/Helsinki,AS24940,Hetzner Online GmbH,hosting
16Uiu2HAkyoMFtYCfGM316Dy5h3Ssvm5YsHb5fDp9iHoBzJDsYfCp,9000,1746011471302,2025-04-30 11:11:11.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,34,0.14,296,Frankfurt am Main,Hesse,DE,50.1,8.7,60306,AS16276,OVH SAS,hosting
16Uiu2HAmTbFtvz474KzFpRxjTxGLXogTyQrwtgdKCkE3u1A1gKmY,9000,1746011471298,2025-04-30 11:11:11.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,20,0.12,473,Frankfurt am Main,Hesse,DE,50.1,8.7,60306,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAm5i4Sn85oibzrnCv95hvvqeLwMn7B3s3L3vyPZ6zHaCHa,9000,1746011441427,2025-04-30 11:10:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,31,0.08,2871,London,England,GB,51.5,-0.1,E1W,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAmA9iAGgtoiRxPTMuDScQeBJddx3hQgfGQqsib21QAUXyr,31450,1746011441362,2025-04-30 11:10:41.000 UTC,362467,lodestar/v1.29.0,10,0.18,80,Groningen,Groningen,NL,53.2,6.6,9711,AS396982,Google LLC,hosting
16Uiu2HAm27351MgywJTrdiJK5Rd3T4K1NrGrEqcR2MefFEQ5fgCH,9000,1746011441335,2025-04-30 11:10:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,47,0.08,8623,Amsterdam,North Holland,NL,52.4,4.9,1012,AS31898,Oracle Corporation,hosting
16Uiu2HAm1FCDsnhADx8SbfS2xSFJMxfPY3xWHKtCUwUBs4HryXki,9000,1746011441332,2025-04-30 11:10:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,1,0.83,973,Falkenstein,Saxony,DE,50.5,12.4,Europe/Berlin,AS24940,Hetzner Online GmbH,hosting
16Uiu2HAmGLc6oUCQncBNX4bVmqLdELVBkbGcMz3HrwChq3DBf3vL,9000,1746011441311,2025-04-30 11:10:41.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,1,0.14,40040,Strasbourg,Grand Est,FR,48.6,7.7,67000,AS16276,OVH SAS,hosting
16Uiu2HAm2qQUTgb71uiGc2CX42JTvFbAzrmHQDXkPSC9nZcnvrmH,13000,1746011441291,2025-04-30 11:10:41.000 UTC,362467,Prysm/Unknown/2db2b9ef3f02631fc3f79a2e7563ab662c5508f2,2,0.13,14461,Frankfurt am Main,Hesse,DE,50.1,8.7,60306,AS16509,"Amazon.com, Inc.",hosting
16Uiu2HAm4q7vwrkQ2DkgrJPzVrpmnfhExos1hGRdyP46LX8vv7nM,9000,1746011416179,2025-04-30 11:10:16.000 UTC,362467,nimbus,61,0.52,447,Zürich,Zurich,CH,47.4,8.6,8000,AS9044,BSE Software GmbH,hosting
16Uiu2HAmEBT3kM84k8Ftks4aqcTKQvpE9B2TRKKCz1TXvoNoBhRv,9000,1746011412724,2025-04-30 11:10:12.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,11,0.16,257,Hong Kong,Hong Kong,HK,22.3,114.2,999077,AS142002,Scloud Pte Ltd,hosting
16Uiu2HAmNZ6Xw7deDSpEWJchwvxFHnVHQE8WrBTqViHg5fDob3Jh,9000,1746011411455,2025-04-30 11:10:11.000 UTC,362467,Lighthouse/v7.0.1-e42406d/x86_64-linux,21,0.09,10511,Warsaw,Mazovia,PL,52.2,21.0,00-002,AS201814,MEVSPACE sp. z o.o.,hosting
16Uiu2HAmG9pTDPgx8Bh2aeQSryJZsB7MEhhE1tkYBoFHH3VQfFS5,9000,1746011411398,2025-04-30 11:10:11.000 UTC,362467,Lighthouse/v7.0.0-54f7bc5/x86_64-linux,7,0.14,5561,Wiener Neudorf,Lower Austria,AT,48.1,16.3,2351,AS197540,netcup GmbH,hosting
